file,row,key,column,status,note
outlets.csv,2,OA0001,Onboarded,coerced,'22/12/2024' parsed as %d/%m/%Y
outlets.csv,3,OA0002,Credit Days,coerced,COD -> 0 credit days
outlets.csv,3,OA0002,Onboarded,coerced,'01/10/2022' parsed as %d/%m/%Y
outlets.csv,4,OA0003,Town,coerced,'Madras' -> Chennai
outlets.csv,4,OA0003,Status,coerced,'ACTIVE' -> Active
outlets.csv,4,OA0003,Credit Days,coerced,'30 days' -> 30
outlets.csv,5,OA0004,Status,coerced,'active' -> Active
outlets.csv,5,OA0004,Credit Days,coerced,'30 days' -> 30
outlets.csv,5,OA0004,Phone,coerced,'+91 88889 93434' -> stripped +91 prefix
outlets.csv,5,OA0004,Onboarded,coerced,'18/11/2024' parsed as %d/%m/%Y
outlets.csv,6,OA0005,Town,coerced,'Tiruchirappalli' -> Trichy
outlets.csv,6,OA0005,Credit Days,blank,Credit terms not recorded
outlets.csv,6,OA0005,Onboarded,coerced,'23/05/2022' parsed as %d/%m/%Y
outlets.csv,6,OA0005,Latitude,blank,Latitude not recorded
outlets.csv,6,OA0005,Longitude,blank,Longitude not recorded
outlets.csv,7,OA0006,Status,coerced,'ACTIVE' -> Active
outlets.csv,7,OA0006,Onboarded,coerced,'24/06/2024' parsed as %d/%m/%Y
outlets.csv,7,OA0006,Latitude,blank,Latitude not recorded
outlets.csv,7,OA0006,Longitude,blank,Longitude not recorded
outlets.csv,8,OA0007,Credit Days,coerced,'30 days' -> 30
outlets.csv,9,OA0008,Onboarded,coerced,'27/10/2023' parsed as %d/%m/%Y
outlets.csv,10,OA0009,Town,coerced,'Madras' -> Chennai
outlets.csv,11,OA0010,Credit Days,blank,Credit terms not recorded
outlets.csv,11,OA0010,Onboarded,coerced,'26/01/2023' parsed as %d/%m/%Y
outlets.csv,12,OA0011,Credit Days,blank,Credit terms not recorded
outlets.csv,12,OA0011,Phone,blank,No phone on file
outlets.csv,12,OA0011,Onboarded,coerced,'22-Jul-21' parsed as %d-%b-%y
outlets.csv,13,OA0012,Status,blank,Status not recorded
outlets.csv,13,OA0012,Credit Days,coerced,'30 days' -> 30
outlets.csv,14,OA0013,Phone,coerced,'916495562933' -> stripped +91 prefix
outlets.csv,14,OA0013,Onboarded,coerced,'14/09/2022' parsed as %d/%m/%Y
outlets.csv,15,OA0014,Status,blank,Status not recorded
outlets.csv,17,OA0016,Status,coerced,'dormant' -> Dormant
outlets.csv,17,OA0016,Credit Days,coerced,'30 days' -> 30
outlets.csv,17,OA0016,Onboarded,coerced,'01/01/2025' parsed as %d/%m/%Y
outlets.csv,18,OA0017,Town,coerced,'Cbe' -> Coimbatore
outlets.csv,18,OA0017,Phone,blank,No phone on file
outlets.csv,19,OA0018,Status,coerced,'ACTIVE' -> Active
outlets.csv,19,OA0018,Phone,coerced,'+91 86287 99892' -> stripped +91 prefix
outlets.csv,19,OA0018,Onboarded,coerced,'14/04/2022' parsed as %d/%m/%Y
outlets.csv,20,OA0019,Credit Days,coerced,COD -> 0 credit days
outlets.csv,20,OA0019,Phone,coerced,
outlets.csv,20,OA0019,Onboarded,coerced,'14-Mar-20' parsed as %d-%b-%y
outlets.csv,21,OA0020,Status,coerced,'active' -> Active
outlets.csv,21,OA0020,Credit Days,coerced,COD -> 0 credit days
outlets.csv,21,OA0020,Latitude,blank,Latitude not recorded
outlets.csv,21,OA0020,Longitude,blank,Longitude not recorded
outlets.csv,22,OA0021,Status,coerced,'ACTIVE' -> Active
outlets.csv,22,OA0021,Phone,blank,No phone on file
outlets.csv,22,OA0021,Onboarded,coerced,'01/03/2024' parsed as %d/%m/%Y
outlets.csv,23,OA0022,Town,coerced,'Mdu' -> Madurai
outlets.csv,23,OA0022,Credit Days,coerced,COD -> 0 credit days
outlets.csv,23,OA0022,Onboarded,coerced,'25/05/2023' parsed as %d/%m/%Y
outlets.csv,23,OA0022,Latitude,blank,Latitude not recorded
outlets.csv,23,OA0022,Longitude,blank,Longitude not recorded
outlets.csv,24,OA0023,Credit Days,coerced,'30 days' -> 30
outlets.csv,24,OA0023,Latitude,blank,Latitude not recorded
outlets.csv,24,OA0023,Longitude,blank,Longitude not recorded
outlets.csv,25,OA0024,Credit Days,coerced,'30 days' -> 30
outlets.csv,25,OA0024,Phone,coerced,
outlets.csv,25,OA0024,Onboarded,coerced,'25/01/2023' parsed as %d/%m/%Y
outlets.csv,26,OA0025,Town,coerced,'Tiruppur' -> Tirupur
outlets.csv,26,OA0025,Status,coerced,'dormant' -> Dormant
outlets.csv,27,OA0026,Credit Days,coerced,COD -> 0 credit days
outlets.csv,27,OA0026,Onboarded,coerced,'29-Mar-21' parsed as %d-%b-%y
outlets.csv,27,OA0026,Latitude,blank,Latitude not recorded
outlets.csv,27,OA0026,Longitude,blank,Longitude not recorded
outlets.csv,28,OA0027,Status,coerced,'active' -> Active
outlets.csv,28,OA0027,Latitude,blank,Latitude not recorded
outlets.csv,28,OA0027,Longitude,blank,Longitude not recorded
